county,households,Electricity,Paraffin,lpg,biogas,firewood,Charcoal,Solar,not_stated
DAGORETTI,"154,949",1.0,25.0,66.7,1.0,1.3,4.9,0.0,0.1
EMBAKASI,"346,462",2.2,25.2,70.4,0.6,0.2,1.3,0.0,0.0
KAMUKUNJI,"83,680",3.1,32.6,58.6,0.8,0.3,4.4,0.1,0.1
KASARANI,"268,611",1.4,21.0,75.1,0.3,0.6,1.5,0.0,0.0
KIBRA,"61,651",4.7,40.2,43.7,1.0,0.4,10.0,0.0,0.0
LANG'ATA,"60,187",2.9,20.2,70.9,0.5,1.8,3.7,0.0,0.1
MAKADARA,"70,080",3.9,33.6,59.2,0.5,0.2,2.5,0.0,0.0
MATHARE,"74,967",2.4,48.0,46.2,0.3,0.3,2.7,0.0,0.1
NJIRU,"204,492",1.4,26.7,68.3,0.4,1.5,1.5,0.0,0.1
STAREHE,"66,108",3.9,25.1,66.6,1.0,0.3,2.9,0.0,0.1
WESTLANDS,"103,489",3.8,17.9,73.9,0.8,0.9,2.7,0.0,0.0
